GameType,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,TopBottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,result,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,game_type,home_away_park,day_pitch_count,count,games_started,count_type,pitch_category,fastball_velo_category,hbp,pa_count,pa_id,ab_count,contact_count,hit_count,total_bases,swing_count,pitch_take,true_strike_count,est_missed_strike_call,strike_height_category,strike_side_category,dz_pitch,ez_pitch,cz_pitch,hard_hit_count,singles_count,doubles_count,triples_count,homeruns_count,walks_count,strikeout_count,hbp_count,sf_count,swing_miss,gb_count,fb_count,ld_count,pop_count,batted_ball_direction,bb_pull_count,bb_oppo_count,bb_cent_count,dz_swing_pts_la,fair_ball_ev,batter_avg_ev,ev_residual,dz_swing_pts_ev,dz_swing_pts,dz_take_pts,cz_swing_pts,cz_take_pts,p_score,k_points,r_score,hard_hit_qab,hit_qab,ab_length,sacrifice,walk_hbp_qab,runner_moved,rbi_qab,qab_yesno
Scrimmage,9/27/2022,15:39:52,3,2,Nate Haberthier,haberna43,,Maryland,Ian Petrutz,petruia42,Left,Maryland,,1,Top,2,1,0,Four-Seam,,BallCalled,,,,,0,0,,91.66502,-2.51083,-5.37818,,,,5.57886,3.12362,7.24479,,,,1.1757,0.4253,86.04516,-6.927,-1.19301,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,28a0f338-3e9c-11ed-8c0c-c5aef882debe,91.81147,5.57437,3.12362,-2.46059,-5.37818,86.16402,1.17896,0.4253,-6.87455,-1.19301,0.40129,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.07521,James Heffley,hefflja42,Maryland,Scrimmage,Home,6,Jan-00,0,HC,Fastball,92-95,,0,T 1 - 3 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,Outer-Third,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,63.23572,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,15:47:32,3,3,Kyle Mccoy,,,Maryland,Zach Martin,martiza63,Left,Maryland,,1,Bottom,2,1,1,Slider,,BallCalled,,,,,0,0,,84.59961,-1.48065,5.85038,,,,6.07552,-2.25865,6.95055,,,,1.28246,0.7694,73.96457,-8.69193,2.92996,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,3ab751cf-3e9d-11ed-b16d-7f9b3dda5e7a,84.73248,6.07071,-2.25865,-1.42297,5.85038,74.05881,1.28697,0.7694,-8.62034,2.92996,0.47177,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.36945,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,14,1-Jan,0,HC,Breaking,,,0,B 1 - 3 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,Outer-Third,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,68.40788,,0,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,15:54:53,3,1,Nate Haberthier,haberna43,,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,,2,Top,1,0,0,Four-Seam,,BallCalled,,,,,0,0,,93.02261,-2.16978,-3.92994,,,,5.43544,3.05652,7.60616,,,,0.9652,-0.5362,85.71954,-7.80922,-3.92994,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,40e8b15e-3e9e-11ed-8bf8-abcb7aad7f0e,93.17029,5.43117,3.05652,-2.12174,-3.92994,85.83918,0.96916,-0.5362,-7.75474,-3.92994,0.40175,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.71384,James Heffley,hefflja42,Maryland,Scrimmage,Home,18,0 - 0,0,HC,Fastball,92-95,,0,T 2 - 3 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,Outer-Third,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,81.29081,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,15:55:50,3,4,Nate Haberthier,haberna43,,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,,2,Top,1,3,0,Sinker,,Foul,,,,,0,0,,92.18573,-1.59643,-5.27041,,,,5.56108,3.33663,6.28379,,,,1.61905,-0.79486,84.16986,-6.88653,-3.3285,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,637ff811-3e9e-11ed-803a-7d6ae84bfc16,92.339,5.55657,3.33663,-1.54566,-5.27041,84.28923,1.62258,-0.79486,-6.83005,-3.3285,0.41677,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,55.03621,James Heffley,hefflja42,Maryland,Scrimmage,Home,21,Mar-00,0,HC,Fastball,92-95,,0,T 2 - 3 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,1,0,1,,Bottom-Third,Outer-Third,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,81.29081,,0,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,15:57:11,4,2,Nate Haberthier,haberna43,,Maryland,Kevin Keister,keistke42,Right,Maryland,,2,Top,2,1,0,Slider,,StrikeSwinging,,,,,0,0,,84.57965,-1.23777,-2.4081,,,,5.49838,3.09278,7.06685,,,,1.23731,-0.23097,76.56439,-7.96588,-3.85557,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,93985d9e-3e9e-11ed-9630-8f6ef249190f,84.71119,5.49368,3.09278,-1.18096,-2.4081,76.66533,1.24149,-0.23097,-7.89904,-3.85557,0.45438,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,high,,,54.25315,James Heffley,hefflja42,Maryland,Scrimmage,Home,24,Jan-00,0,HC,Breaking,,,0,T 2 - 4 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,1,0,0,,,Middle-Third,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,96.04138,,0,0,0,-1,0,-1,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:00:33,1,3,Eli Stowe,,,Maryland,Sean Lane,lane-se42,Right,Maryland,,2,Bottom,0,1,1,Four-Seam,,BallCalled,,,,,0,0,,97.07119,-6.27893,0.47892,,,,6.34848,1.13878,7.61814,,,,-1.70018,1.57583,89.88036,-11.42094,0.47892,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,0be5deeb-3e9f-11ed-ba24-4fb326b6a0ce,97.21214,6.34486,1.13878,-6.23596,0.47892,90.00201,-1.69639,1.57583,-11.37019,0.47892,0.38616,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.70186,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,3,1-Jan,0,HC,Fastball,96+,,0,B 2 - 1 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:00:52,1,4,Eli Stowe,,,Maryland,Sean Lane,lane-se42,Right,Maryland,,2,Bottom,0,2,1,Four-Seam,,BallCalled,,,,,0,0,,94.16617,-5.2294,0.28507,,,,6.47542,1.18703,7.67943,,,,-0.72938,1.44687,87.15793,-10.69156,0.28507,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,171ce4ab-3e9f-11ed-9a3f-1317b8b629ea,94.30127,6.4718,1.18703,-5.18468,0.28507,87.27723,-0.72529,1.44687,-10.63705,0.28507,0.39682,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.64057,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,4,1-Feb,0,HC,Fastball,92-95,,0,B 2 - 1 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:01:49,2,1,Eli Stowe,,,Maryland,Simmi Whitehill,,,Maryland,,2,Bottom,0,0,0,Four-Seam,,StrikeSwinging,,,,,0,0,,91.5531,-2.22565,-0.69491,,,,6.50854,1.1825,7.62416,,,,1.92363,0.5484,84.4164,-8.03345,-0.69491,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,3969e370-3e9f-11ed-951c-c1dc0580d91c,91.69089,6.50472,1.1825,-2.17843,-0.69491,84.53636,1.92786,0.5484,-7.97577,-0.69491,0.40713,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.69584,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,6,0 - 0,0,HC,Fastball,92-95,,0,B 2 - 2 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,1,0,1,,Bottom-Third,,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:12:29,6,1,Eli Stowe,,,Maryland,Cam Jones,,,Maryland,,2,Bottom,1,0,0,Four-Seam,,BallCalled,,,,,0,0,,91.43197,-4.72085,-2.03308,,,,6.5508,1.37238,6.65766,,,,-0.52279,-0.51778,84.53502,-10.63646,-2.03308,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,b6cc8d80-3ea0-11ed-8560-cfa0ce90cb72,91.57282,6.54633,1.37238,-4.66998,-2.03308,84.65104,-0.51837,-0.51778,-10.5777,-2.03308,0.41695,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.66234,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,29,0 - 0,0,HC,Fastball,88-91,,0,B 2 - 6 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,0,1,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,101.03028,,0,0,0,0,0.25,0.25,0,0,,0,0,,0,,0,
Scrimmage,9/27/2022,16:15:02,6,7,Eli Stowe,,,Maryland,Cam Jones,,,Maryland,,2,Bottom,1,3,2,Four-Seam,,Foul,,,,,0,0,,90.21509,-2.94848,-4.02868,,,,6.20285,1.60551,7.80365,,,,0.88666,-2.06386,83.32682,-8.9123,-4.02868,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,85a9b74d-322b-480b-9da8-ea3113d671e4,1201b785-3ea1-11ed-9aa8-3baf2c6c2644,90.35076,6.19871,1.60551,-2.89906,-4.02868,83.44102,0.89095,-2.06386,-8.85383,-4.02868,0.41297,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,53.51635,Luke Shliger,shliglu42,Maryland,Scrimmage,Home,35,2-Mar,0,FC,Fastball,88-91,,0,B 2 - 6 - 85a9b74d-322b-480b-9da8-ea3113d671e4,0,0,0,0,1,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,101.03028,,0,0,0,-1,0,-1,0,0,,0,0,,0,,0,
